location;new_cases_smoothed;new_deaths_smoothed;reproduction_rate;positive_rate;people_fully_vaccinated;stringency_index
Indonesia;4.278.714;99.0;1.01;;;72.69
Indonesia;4228.0;97.429;1.0;;;50.46
Indonesia;4.206.571;93.286;0.99;;;50.46
Indonesia;4.147.857;97.714;0.99;;;50.46
Indonesia;4.085.143;98.286;0.99;;;50.46
Indonesia;4.114.714;97.143;0.99;;;50.46
Indonesia;4.115.714;95.143;0.99;;;50.46
Indonesia;4.059.714;95.286;0.98;;;50.46
Indonesia;4.074.857;97.429;0.98;;;50.46
Indonesia;4.031.429;101.0;0.98;;;50.46
Indonesia;4.051.429;100.143;0.98;;;50.46
Indonesia;4.054.429;98.714;0.97;;;50.46
Indonesia;4.064.143;104.286;0.97;;;50.46
Indonesia;4.031.143;110.571;0.96;;;50.46
Indonesia;3.977.857;112.571;0.95;;;50.46
Indonesia;3.956.286;113.429;0.94;;;50.46
Indonesia;3.944.571;111.143;0.93;;;54.17
Indonesia;3.910.571;107.857;0.91;;;54.17
Indonesia;3.786.714;106.0;0.89;;;54.17
Indonesia;3.576.429;100.714;0.88;;;54.17
Indonesia;3444.0;94.857;0.88;;;54.17
Indonesia;3296.0;92.0;0.9;;;54.17
Indonesia;3.209.714;90.429;0.93;;;54.17
Indonesia;3.131.571;90.571;0.95;;;54.17
Indonesia;3.035.429;92.429;0.98;;;54.17
Indonesia;3.106.857;92.429;1.01;;;54.17
Indonesia;3.232.714;94.286;1.03;;;54.17
Indonesia;3.392.571;95.857;1.06;;;54.17
Indonesia;3.561.714;95.857;1.07;;;54.17
Indonesia;3.595.286;92.143;1.07;;;54.17
Indonesia;3.710.429;87.857;1.08;;;54.17
Indonesia;3.769.571;82.429;1.1;;;54.17
Indonesia;3785.0;83.571;1.11;;;54.17
Indonesia;4023.0;85.0;1.13;;;54.17
Indonesia;4.167.286;86.857;1.13;;;54.17
Indonesia;4.199.571;85.286;1.11;;;54.17
Indonesia;4297.0;86.714;1.09;;;54.17
Indonesia;4301.0;90.286;1.08;;;54.17
Indonesia;4.371.714;95.286;1.08;;;54.17
Indonesia;4461.0;95.286;1.09;;;68.06
Indonesia;4.367.857;91.571;1.09;;;68.06
Indonesia;4.328.714;89.429;1.1;;;68.06
Indonesia;4365.0;96.143;1.1;;;68.06
Indonesia;4.494.571;100.857;1.11;;;68.06
Indonesia;4.549.571;102.571;1.11;;;68.06
